Mac-mini-de-Lidiomar:matriz_thread fernandoMachado$ ,/main_matriz_thread 100x100-mat1,map 100x100-mat2,map 
Threads: 5
0,002307
0,002265
0,002403
0,002329
0,002227
0,002281
0,002303
0,002317
0,002230
0,002231
Threads: 10
0,002264
0,002259
0,002679
0,002173
0,002026
0,002444
0,003047
0,002322
0,002070
0,001851
Threads: 15
0,001884
0,002150
0,002371
0,003086
0,004104
0,003845
0,002025
0,001923
0,001908
0,001964
Threads: 20
0,003272
0,004224
0,002080
0,001967
0,002028
0,002057
0,002075
0,002516
0,002182
0,002022
Threads: 25
0,002072
0,002032
0,002019
0,002146
0,002076
0,002110
0,002019
0,002216
0,002621
0,003622




Mac-mini-de-Lidiomar:matriz_thread fernandoMachado$ ,/main_matriz_thread 500x500-mat1,map 500x500-mat2,map 
Threads: 5
0,290279
0,287868
0,285667
0,287755
0,287951
0,290213
0,289744
0,293935
0,287086
0,286310
Threads: 10
0,286404
0,285659
0,287246
0,286896
0,285442
0,286818
0,285192
0,286385
0,285881
0,286878
Threads: 15
0,289986
0,285455
0,288202
0,286823
0,287624
0,284487
0,287284
0,286147
0,284859
0,285900
Threads: 20
0,286186
0,286611
0,284359
0,287615
0,288373
0,286198
0,286775
0,286251
0,289856
0,285182
Threads: 25
0,288431
0,287456
0,292605
0,287452
0,287692
0,285894
0,284114
0,286785
0,286222
0,285582


Mac-mini-de-Lidiomar:matriz_thread fernandoMachado$ ,/main_matriz_thread 1000x1000-mat1,map 1000x1000-mat2,map 
Threads: 5
7,188901
7,622460
7,506750
7,419912
7,863460
7,974737
7,801255
8,322058
7,497587
7,627677
Threads: 10
7,741933
7,440962
7,382927
6,888039
6,919599
6,906310
6,945765
6,837281
6,963806
6,884778
Threads: 15
7,008855
7,010105
7,545987
6,829386
6,898449
6,792561
6,838800
8,100960
7,907892
7,345351
Threads: 20
7,890426
7,839385
8,162052
7,461755
7,300800
7,137674
6,808669
6,792532
7,127108
6,963120
Threads: 25
6,801195
7,718540
8,128093
8,545070
7,831457
7,698991
7,305327
9,088956
9,334850
8,783063


Mac-mini-de-Lidiomar:matriz_thread fernandoMachado$ ,/main_matriz_thread 1500x1500-mat1,map 1500x1500-mat2,map 
Threads: 5
16,559585
16,649274
16,448199
16,215602
15,724081
15,655425
15,583294
15,694242
21,426513
16,643029
Threads: 10
18,062609
20,011775
20,861115
20,702588
21,136803
19,901738
18,728745
17,695942
17,644886
17,599249
Threads: 15
18,684619
18,611264
16,014180
16,344085
16,895299
16,508672
17,580337
16,870369
16,724618
19,547452
Threads: 20
17,692633
16,103924
16,130020
16,065594
15,952591
15,966444
16,091730
16,441452
15,896996
16,007383
Threads: 25
16,018026
15,987921
15,953522
16,010585
16,083189
15,894755
15,973302
16,011651
16,056143
16,091849
